م;"أســماء اللجنان النقابية 
 بالشـــــــركات";;;;;
40;مكتب شئون عضوية أبو حماد _ الشرقية;;;;;
41;مكتب شئون عضوية طامية;;;;;
42;مكتب شئون عضوية إبشواي;;;;;
43;مكتب شئون عضوية إطسا;;;;;
44;مكتب شئون عضوية سنورس;;;;;
45;مكتب شئون عضوية يوسف الصديق;;;;;
46;مكتب شئون عضوية الحامول;;;;;
47;مكاتب شئون عضوية مطوبس;;;;;
48;مكتب شئون عضوية السادات;;;;;
49;مكتب شئون عضوية منيا القمح;;;;;
50;مكتب شئون عضوية الحسينية _ الشرقية;;;;;
51;مكتب شئون عضوية ههيا;;;;;
53;مكتب شئون عضوية بمنية النصر;;;;;
63;مكتب شئون عضوية بني عبيد;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
م;اسم الحساب الكلى;الكود كلى;اسم الحساب  الفرعى;كود فرعى;اسم الحساب الكلى;طبيعة الحساب
1;الأصول طويلة الأجل;1000;المخزن;1001;الأصول طويلة الأجل;مدين
2;الأصول طويلة الأجل;1000;أجهزة الكترونية وكهربائية;1002;الأصول المتداولة;مدين
3;الأصول طويلة الأجل;1000;اثاث وأجهزة;1003;نقدية بالبنوك والخزينة;مدين
4;الأصول طويلة الأجل;1000;حاسب الى;1004;الإحتياطيات وفائض العام;دائن
5;الأصول طويلة الأجل;1000;سيارات;1005;مجمع اهلاك أصول ثابتة;دائن
6;الأصول طويلة الأجل;1000;إضافات الأصول من 2003 وحتى 2021;1006;الالتزامات المتداولة;دائن
7;الأصول طويلة الأجل;1000;مبانى وانشاءات;1007;مصروفات النقابـة;مدين
1;الأصول المتداولة;1100;مدينون متنوعون;1101; إيرادات النقابة;دائن
2;الأصول المتداولة;1100;الاتحاد العام;1102;مصـروفات عمومية وإدارية;مدين
3;الأصول المتداولة;1100;جهاز مشروعات أسيوط;1103;;
4;الأصول المتداولة;1100;سلف العاملين;1104;;
5;الأصول المتداولة;1100;مركز التدريب;1105;;
6;الأصول المتداولة;1100;تأمين تكافلى;1106;;
7;الأصول المتداولة;1100;تأمينات للغير;1107;;
8;الأصول المتداولة;1100;المؤسسة الثقافية;1108;;
9;الأصول المتداولة;1100;إيرادات مستحقة;1109;;
10;الأصول المتداولة;1100;مصروفات مدفوعة مقدمة;1110;;
11;الأصول المتداولة;1100;اشتركات لجان الشركات والهيئات;1111;;
12;الأصول المتداولة;1100;مدينون متنوعون فروق تامينية 2021;1112;;
13;الأصول المتداولة;1100;قروض عاملين بنك التنمية 2021;1113;;
14;الأصول المتداولة;1100;عهد وسلف مدينون متنوعون 2021;1114;;
15;الأصول المتداولة;1100;مدينون متنوعون فروق تامينية 2020;1115;;
16;الأصول المتداولة;1100;قروض عاملين بنك التنمية 2020;1116;;
17;الأصول المتداولة;1100;عهد وسلف مدينون متنوعون 2020;1117;;
18;الأصول المتداولة;1100;ارصدة مدينة أخرى;1118;;
19;الأصول المتداولة;1100;المخزن;1119;;
1;نقدية بالبنوك والخزينة;1200;بنك مصر;1201;;
2;نقدية بالبنوك والخزينة;1200;بنك العمال 1;1202;;
3;نقدية بالبنوك والخزينة;1200;بنك العمال 2;1203;;
4;نقدية بالبنوك والخزينة;1200;بنك العمال دولار;1204;;
5;نقدية بالبنوك والخزينة;1200;بنك العمال يورو;1205;;
